Sequence 1,Sequence 2,Player 1 Wins,Player 2 Wins,Player 1 Win %
000,001,474914,500562,48.69
000,010,293845,685554,30.0
000,011,203513,767623,20.96
000,100,3,999994,0.0
000,101,278220,692821,28.65
000,110,17486,976840,1.76
000,111,484094,484389,49.98
001,000,500562,474914,51.31
001,010,851287,130027,86.75
001,011,952212,35683,96.39
001,100,901,998732,0.09
001,101,935085,46620,95.25
001,110,466349,466355,50.0
001,111,976721,17473,98.24
010,000,685554,293845,70.0
010,001,130027,851287,13.25
010,011,477528,479487,49.9
010,100,397599,573774,40.93
010,101,483682,487294,49.81
010,110,46174,935791,4.7
010,111,691319,279626,71.2
011,000,767623,203513,79.04
011,001,35683,952212,3.61
011,010,479487,477528,50.1
011,100,478315,478650,49.98
011,101,575137,396155,59.21
011,110,998771,900,99.91
011,111,999996,2,100.0
100,000,999994,3,100.0
100,001,998732,901,99.91
100,010,573774,397599,59.07
100,011,478650,478315,50.02
100,101,477855,478919,49.94
100,110,35242,952478,3.57
100,111,768353,202697,79.13
101,000,692821,278220,71.35
101,001,46620,935085,4.75
101,010,487294,483682,50.19
101,011,396155,575137,40.79
101,100,478919,477855,50.06
101,110,128913,852581,13.13
101,111,684995,294311,69.95
110,000,976840,17486,98.24
110,001,466355,466349,50.0
110,010,935791,46174,95.3
110,011,900,998771,0.09
110,100,952478,35242,96.43
110,101,852581,128913,86.87
110,111,501157,474607,51.36
111,000,484389,484094,50.02
111,001,17473,976721,1.76
111,010,279626,691319,28.8
111,011,2,999996,0.0
111,100,202697,768353,20.87
111,101,294311,684995,30.05
111,110,474607,501157,48.64
