Sequence 1,Sequence 2,Player 1 Wins,Player 2 Wins,Player 1 Win %
000,001,404849,440655,47.88
000,010,211456,664674,24.14
000,011,112570,769091,12.77
000,100,1181,994811,0.12
000,101,168001,694027,19.49
000,110,8377,967149,0.86
000,111,325213,324628,50.05
001,000,440655,404849,52.12
001,010,800715,116321,87.32
001,011,882966,52011,94.44
001,100,26536,934841,2.76
001,101,791803,113684,87.44
001,110,409787,409170,50.04
001,111,967173,8346,99.14
010,000,664674,211456,75.86
010,001,116321,800715,12.68
010,011,431263,431737,49.97
010,100,423664,441457,48.97
010,101,405059,407050,49.88
010,110,112630,792967,12.44
010,111,694199,168078,80.51
011,000,769091,112570,87.23
011,001,52011,882966,5.56
011,010,431737,431263,50.03
011,100,431893,431424,50.03
011,101,443102,422592,51.18
011,110,935618,25928,97.3
011,111,994722,1115,99.89
100,000,994811,1181,99.88
100,001,934841,26536,97.24
100,010,441457,423664,51.03
100,011,431424,431893,49.97
100,101,431307,432120,49.95
100,110,51663,882888,5.53
100,111,769754,112215,87.28
101,000,694027,168001,80.51
101,001,113684,791803,12.56
101,010,407050,405059,50.12
101,011,422592,443102,48.82
101,100,432120,431307,50.05
101,110,115933,801579,12.64
101,111,664301,212157,75.79
110,000,967149,8377,99.14
110,001,409170,409787,49.96
110,010,792967,112630,87.56
110,011,25928,935618,2.7
110,100,882888,51663,94.47
110,101,801579,115933,87.36
110,111,442098,403323,52.29
111,000,324628,325213,49.95
111,001,8346,967173,0.86
111,010,168078,694199,19.49
111,011,1115,994722,0.11
111,100,112215,769754,12.72
111,101,212157,664301,24.21
111,110,403323,442098,47.71
