Sequence 1,Sequence 2,Player 1 Wins,Player 2 Wins,Player 1 Win %
000,001,14168,15227,48.2
000,010,7607,23036,24.82
000,011,4002,26845,12.97
000,100,46,34621,0.13
000,101,5979,23762,20.1
000,110,331,33596,0.98
000,111,11186,10847,50.77
001,000,15227,14168,51.8
001,010,27793,3938,87.59
001,011,30535,1883,94.19
001,100,1009,32513,3.01
001,101,27603,4146,86.94
001,110,14403,14301,50.18
001,111,33636,314,99.08
010,000,23036,7607,75.18
010,001,3938,27793,12.41
010,011,15030,15105,49.88
010,100,14560,15526,48.39
010,101,14205,13841,50.65
010,110,3870,27548,12.32
010,111,24015,5939,80.17
011,000,26845,4002,87.03
011,001,1883,30535,5.81
011,010,15105,15030,50.12
011,100,14981,15088,49.82
011,101,15643,14618,51.69
011,110,32482,951,97.16
011,111,34585,30,99.91
100,000,34621,46,99.87
100,001,32513,1009,96.99
100,010,15526,14560,51.61
100,011,15088,14981,50.18
100,101,15282,14701,50.97
100,110,1717,30931,5.26
100,111,26704,4023,86.91
101,000,23762,5979,79.9
101,001,4146,27603,13.06
101,010,13841,14205,49.35
101,011,14618,15643,48.31
101,100,14701,15282,49.03
101,110,4167,27913,12.99
101,111,23042,7488,75.47
110,000,33596,331,99.02
110,001,14301,14403,49.82
110,010,27548,3870,87.68
110,011,951,32482,2.84
110,100,30931,1717,94.74
110,101,27913,4167,87.01
110,111,15429,13970,52.48
111,000,10847,11186,49.23
111,001,314,33636,0.92
111,010,5939,24015,19.83
111,011,30,34585,0.09
111,100,4023,26704,13.09
111,101,7488,23042,24.53
111,110,13970,15429,47.52
