Sequence 1,Sequence 2,Player 1 Wins,Player 2 Wins,Player 1 Win %
000,001,361603,510470,41.46
000,010,401158,499479,44.54
000,011,330943,519062,38.93
000,100,361242,510480,41.44
000,101,376888,485568,43.7
000,110,330749,518914,38.93
000,111,395182,394413,50.05
001,000,510470,361603,58.54
001,010,441617,404263,52.21
001,011,389233,390488,49.92
001,100,189936,190355,49.94
001,101,446041,426711,51.11
001,110,391444,392141,49.96
001,111,518842,331216,61.04
010,000,499479,401158,55.46
010,001,404263,441617,47.79
010,011,425421,447371,48.74
010,100,404144,441523,47.79
010,101,386972,387752,49.95
010,110,425362,447140,48.75
010,111,485126,377025,56.27
011,000,519062,330943,61.07
011,001,390488,389233,50.08
011,010,447371,425421,51.26
011,100,392777,391735,50.07
011,101,441617,404361,52.2
011,110,190239,189542,50.09
011,111,510998,361237,58.58
100,000,510480,361242,58.56
100,001,190355,189936,50.06
100,010,441523,404144,52.21
100,011,391735,392777,49.93
100,101,446064,426490,51.12
100,110,389239,390239,49.94
100,111,518736,330825,61.06
101,000,485568,376888,56.3
101,001,426711,446041,48.89
101,010,387752,386972,50.05
101,011,404361,441617,47.8
101,100,426490,446064,48.88
101,110,404280,441630,47.79
101,111,499931,401021,55.49
110,000,518914,330749,61.07
110,001,392141,391444,50.04
110,010,447140,425362,51.25
110,011,189542,190239,49.91
110,100,390239,389239,50.06
110,101,441630,404280,52.21
110,111,510931,361362,58.57
111,000,394413,395182,49.95
111,001,331216,518842,38.96
111,010,377025,485126,43.73
111,011,361237,510998,41.42
111,100,330825,518736,38.94
111,101,401021,499931,44.51
111,110,361362,510931,41.43
